Q_h3a_031 | del | my earlier rewrite of this Microbiology item to pityriasis versicolor duplicated Q_DE_INF_004 in Dermatology, which already covers Malassezia furfur and the spaghetti-and-meatballs KOH appearance. Deleted; the Dermatology item is the natural home
Q_DE_ACN_001 | ok |
Q_DE_ACN_002 | ok |
Q_DE_ACN_003 | ok |
Q_DE_ACN_004 | ok |
Q_DE_ACN_005 | ok |
Q_DE_ACN_006 | ok |
Q_DE_ACN_007 | ok |
Q_DE_ACN_008 | ok |
Q_DE_ACN_009 | ok |
Q_DE_ACN_010 | ok |
Q_DE_INF_001 | ok |
Q_DE_INF_002 | ok |
Q_DE_INF_003 | ok |
Q_DE_INF_004 | ok |
Q_DE_INF_005 | ok |
Q_DE_INF_006 | ok |
Q_DE_INF_007 | ok |
Q_DE_INF_008 | ok |
Q_DE_INF_009 | ok |
Q_DE_INF_010 | ok |
Q_DE_DRG_001 | ok |
Q_DE_DRG_002 | ok |
Q_DE_DRG_003 | ok |
Q_DE_DRG_004 | ok |
Q_DE_DRG_005 | ok |
Q_DE_DRG_006 | ok |
Q_DE_DRG_007 | ok |
Q_DE_DRG_008 | ok |
Q_DE_DRG_009 | ok |
Q_DE_DRG_010 | ok |
Q_DE_ECZ_001 | ok |
Q_DE_ECZ_002 | ok |
Q_DE_ECZ_003 | ok |
Q_DE_ECZ_004 | ok |
Q_DE_ECZ_005 | ok |
Q_DE_ECZ_006 | ok |
Q_DE_ECZ_007 | ok |
