Q_GEN_DERM_LEPROSY_001 | ok |
Q_GEN_DERM_LEPROSY_002 | ok |
Q_GEN_DERM_LEPROSY_003 | ok |
Q_GEN_DERM_LEPROSY_004 | ok |
Q_GEN_DERM_LEPROSY_005 | ok |
Q_GEN_DERM_LEPROSY_006 | ok |
Q_GEN_DERM_LEPROSY_007 | ok |
Q_GEN_DERM_LEPROSY_008 | ok |
Q_GEN_DERM_LEPROSY_009 | ok |
Q_GEN_DERM_LEPROSY_010 | ok |
Q_GEN_DERM_LEPROSY_011 | ok |
Q_GEN_DERM_LEPROSY_012 | ok |
Q_GEN_DERM_LEPROSY_013 | ok |
Q_GEN_DERM_LEPROSY_014 | ok |
Q_GEN_DERM_LEPROSY_015 | ok |
Q_GEN_DERM_LEPROSY_016 | ok |
Q_GEN_DERM_LEPROSY_017 | ok |
Q_GEN_DERM_LEPROSY_018 | ok |
Q_GEN_DERM_LEPROSY_019 | ok |
Q_GEN_DERM_LEPROSY_020 | ok |
Q_GEN_DERM_LEPROSY_021 | ok |
Q_GEN_DERM_LEPROSY_022 | ok |
Q_GEN_DERM_LEPROSY_023 | ok |
Q_GEN_DERM_LEPROSY_024 | ok |
Q_S_024 | ok |
Q_S_025 | ok |
Q_S_028 | ok |
Q_S_029 | ok |
Q_GEN_DERM_PAPULOSQ_001 | ok |
Q_GEN_DERM_PAPULOSQ_002 | ok |
Q_GEN_DERM_PAPULOSQ_003 | ok |
Q_GEN_DERM_PAPULOSQ_004 | ok |
Q_GEN_DERM_PAPULOSQ_005 | ok |
Q_GEN_DERM_PAPULOSQ_006 | ok |
Q_GEN_DERM_PAPULOSQ_007 | ok |
Q_GEN_DERM_PAPULOSQ_008 | ok |
Q_GEN_DERM_PAPULOSQ_009 | ok |
Q_GEN_DERM_PAPULOSQ_010 | ok |
Q_GEN_DERM_PAPULOSQ_011 | ok |
Q_GEN_DERM_PAPULOSQ_012 | ok |
Q_GEN_DERM_PAPULOSQ_013 | ok |
Q_GEN_DERM_PAPULOSQ_014 | ok |
Q_GEN_DERM_PAPULOSQ_015 | ok |
Q_GEN_DERM_PAPULOSQ_016 | ok |
Q_GEN_DERM_PAPULOSQ_017 | ok |
Q_GEN_DERM_PAPULOSQ_018 | ok |
Q_GEN_DERM_PAPULOSQ_019 | ok |
Q_GEN_DERM_PAPULOSQ_020 | ok |
Q_GEN_DERM_PAPULOSQ_021 | ok |
Q_GEN_DERM_PAPULOSQ_022 | ok |
Q_GEN_DERM_PAPULOSQ_023 | ok |
Q_GEN_DERM_PAPULOSQ_024 | ok |
Q_GEN_DERM_PAPULOSQ_025 | ok |
Q_GEN_DERM_PAPULOSQ_026 | ok |
Q_S_026 | ok |
Q_S_027 | ok |
