Q_OBG_ABL_005 | del | duplicate of Q_OBG_ABL_015, which gives the same brow presentation and additionally the mento-vertical diameter that makes delivery impossible. The fuller item is retained
Q_OBG_ABL_008 | ref=WHO Recommendations: Intrapartum Care for a Positive Childbirth Experience 2018; DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | the reference read "WHO Partograph; Park 27e" with no title, year or chapter
Q_OBG_ABL_001 | ok |
Q_OBG_ABL_002 | ok |
Q_OBG_ABL_003 | ok |
Q_OBG_ABL_004 | ok |
Q_OBG_ABL_006 | ok |
Q_OBG_ABL_007 | ok |
Q_OBG_ABL_009 | ok |
Q_OBG_ABL_010 | ok |
Q_OBG_ABL_011 | ok |
Q_OBG_ABL_012 | ok |
Q_OBG_ABL_013 | ok |
Q_OBG_ABL_014 | ok |
Q_OBG_ABL_015 | ok |
Q_OBG_ABL_016 | ok |
Q_OBG_ABL_017 | ok |
Q_OBG_ABL_018 | ok |
Q_OBG_ABL_019 | ok |
Q_OBG_ABL_020 | ok |
Q_OBG_AEP_001 | ok |
Q_OBG_AEP_002 | ok |
Q_OBG_AEP_003 | ok |
Q_OBG_AEP_004 | ok |
Q_OBG_AEP_005 | ok |
Q_OBG_AEP_006 | ok |
Q_OBG_AEP_007 | ok |
Q_OBG_AEP_008 | ok |
Q_OBG_CCE_001 | ok |
Q_OBG_CCE_002 | ok |
Q_OBG_CCE_003 | ok |
Q_OBG_CCE_004 | ok |
Q_OBG_CCE_005 | ok |
Q_OBG_CCE_006 | ok |
Q_OBG_CCE_007 | ok |
Q_OBG_C_001 | ok |
Q_OBG_C_002 | ok |
Q_OBG_C_003 | ok |
Q_OBG_C_004 | ok |
Q_OBG_C_005 | ok |
Q_OBG_C_006 | ok |
Q_OBG_DX_001 | ok |
Q_OBG_DX_002 | ok |
Q_OBG_DX_003 | ok |
