Q_GEN_OPHTH_CATARACT_001 | ok |
Q_GEN_OPHTH_CATARACT_002 | ok |
Q_GEN_OPHTH_CATARACT_003 | ok |
Q_GEN_OPHTH_CATARACT_004 | ok |
Q_GEN_OPHTH_CATARACT_005 | ok |
Q_GEN_OPHTH_CATARACT_006 | ok |
Q_GEN_OPHTH_CATARACT_007 | ok |
Q_GEN_OPHTH_CATARACT_008 | ok |
Q_GEN_OPHTH_CATARACT_009 | ok |
Q_GEN_OPHTH_CATARACT_010 | ok |
Q_GEN_OPHTH_CATARACT_011 | ok |
Q_GEN_OPHTH_CATARACT_012 | ok |
Q_GEN_OPHTH_CATARACT_013 | ok |
Q_GEN_OPHTH_CATARACT_014 | ok |
Q_GEN_OPHTH_CATARACT_015 | ok |
Q_GEN_OPHTH_CATARACT_016 | ok |
Q_GEN_OPHTH_CATARACT_017 | ok |
Q_GEN_OPHTH_CATARACT_018 | ok |
Q_GEN_OPHTH_CATARACT_019 | ok |
Q_GEN_OPHTH_CATARACT_020 | ok |
Q_GEN_OPHTH_CATARACT_021 | ok |
Q_GEN_OPHTH_CATARACT_022 | ok |
Q_GEN_OPHTH_CATARACT_023 | ok |
Q_GEN_OPHTH_CATARACT_024 | ok |
Q_GEN_OPHTH_CATARACT_025 | ok |
Q_S_013 | ok |
Q_GEN_OPHTH_RETINA_001 | ok |
Q_GEN_OPHTH_RETINA_002 | ok |
Q_GEN_OPHTH_RETINA_003 | ok |
Q_GEN_OPHTH_RETINA_004 | ok |
Q_GEN_OPHTH_RETINA_005 | ok |
Q_GEN_OPHTH_RETINA_006 | ok |
Q_GEN_OPHTH_RETINA_007 | ok |
Q_GEN_OPHTH_RETINA_008 | ok |
Q_GEN_OPHTH_RETINA_009 | ok |
Q_GEN_OPHTH_RETINA_010 | ok |
Q_GEN_OPHTH_RETINA_011 | ok |
Q_GEN_OPHTH_RETINA_012 | ok |
Q_GEN_OPHTH_RETINA_013 | ok |
Q_GEN_OPHTH_RETINA_014 | ok |
Q_GEN_OPHTH_RETINA_015 | ok |
Q_GEN_OPHTH_RETINA_016 | ok |
Q_GEN_OPHTH_RETINA_017 | ok |
Q_GEN_OPHTH_RETINA_018 | ok |
Q_GEN_OPHTH_RETINA_019 | ok |
Q_GEN_OPHTH_RETINA_020 | ok |
Q_GEN_OPHTH_RETINA_021 | ok |
Q_GEN_OPHTH_RETINA_022 | ok |
Q_GEN_OPHTH_RETINA_023 | ok |
Q_S_016 | ok |
Q_S_017 | ok |
Q_GEN_OPHTH_GLAUCOMA_001 | ok |
Q_GEN_OPHTH_GLAUCOMA_002 | ok |
Q_GEN_OPHTH_GLAUCOMA_003 | ok |
Q_GEN_OPHTH_GLAUCOMA_004 | ok |
Q_GEN_OPHTH_GLAUCOMA_005 | ok |
Q_GEN_OPHTH_GLAUCOMA_006 | ok |
Q_GEN_OPHTH_GLAUCOMA_007 | ok |
Q_GEN_OPHTH_GLAUCOMA_008 | ok |
Q_GEN_OPHTH_GLAUCOMA_009 | ok |
Q_GEN_OPHTH_GLAUCOMA_010 | ok |
Q_GEN_OPHTH_GLAUCOMA_011 | ok |
Q_GEN_OPHTH_GLAUCOMA_012 | ok |
Q_GEN_OPHTH_GLAUCOMA_013 | ok |
Q_GEN_OPHTH_GLAUCOMA_014 | ok |
Q_GEN_OPHTH_GLAUCOMA_015 | ok |
Q_GEN_OPHTH_GLAUCOMA_016 | ok |
Q_GEN_OPHTH_GLAUCOMA_017 | ok |
Q_GEN_OPHTH_GLAUCOMA_018 | ok |
Q_GEN_OPHTH_GLAUCOMA_019 | ok |
Q_GEN_OPHTH_GLAUCOMA_020 | ok |
Q_GEN_OPHTH_GLAUCOMA_021 | ok |
Q_GEN_OPHTH_GLAUCOMA_022 | ok |
Q_GEN_OPHTH_GLAUCOMA_023 | ok |
Q_GEN_OPHTH_GLAUCOMA_024 | ok |
Q_GEN_OPHTH_GLAUCOMA_025 | ok |
Q_GEN_OPHTH_GLAUCOMA_026 | ok |
Q_PYQ_FMGE_2025JULP1_053 | ok |
Q_S_014 | ok |
Q_S_015 | ok |
Q_GEN_OPHTH_REFRACT_001 | ok |
Q_GEN_OPHTH_REFRACT_002 | ok |
Q_GEN_OPHTH_REFRACT_003 | ok |
Q_GEN_OPHTH_REFRACT_004 | ok |
Q_GEN_OPHTH_REFRACT_005 | ok |
Q_GEN_OPHTH_REFRACT_006 | ok |
Q_GEN_OPHTH_REFRACT_007 | ok |
Q_GEN_OPHTH_REFRACT_008 | ok |
Q_GEN_OPHTH_REFRACT_009 | ok |
Q_GEN_OPHTH_REFRACT_010 | ok |
Q_GEN_OPHTH_REFRACT_011 | ok |
Q_GEN_OPHTH_REFRACT_012 | ok |
Q_GEN_OPHTH_REFRACT_013 | ok |
Q_GEN_OPHTH_REFRACT_014 | ok |
Q_GEN_OPHTH_REFRACT_015 | ok |
Q_GEN_OPHTH_REFRACT_016 | ok |
Q_GEN_OPHTH_REFRACT_017 | ok |
Q_GEN_OPHTH_REFRACT_018 | ok |
Q_GEN_OPHTH_REFRACT_019 | ok |
Q_GEN_OPHTH_REFRACT_020 | ok |
Q_GEN_OPHTH_REFRACT_021 | ok |
Q_GEN_OPHTH_REFRACT_022 | ok |
Q_GEN_OPHTH_REFRACT_023 | ok |
Q_GEN_OPHTH_REFRACT_024 | ok |
Q_GEN_OPHTH_REFRACT_025 | ok |
Q_S_018 | ok |
