Q_GEN_PATH_GEN_INFLAMM_001 | ok |
Q_GEN_PATH_GEN_INFLAMM_002 | ok |
Q_GEN_PATH_GEN_INFLAMM_003 | ok |
Q_GEN_PATH_GEN_INFLAMM_004 | ok |
Q_GEN_PATH_GEN_INFLAMM_005 | ok |
Q_GEN_PATH_GEN_INFLAMM_006 | ok |
Q_GEN_PATH_GEN_INFLAMM_007 | ok |
Q_GEN_PATH_GEN_INFLAMM_008 | ok |
Q_GEN_PATH_GEN_INFLAMM_009 | ok |
Q_GEN_PATH_GEN_INFLAMM_010 | ok |
Q_GEN_PATH_GEN_INFLAMM_011 | ok |
Q_GEN_PATH_GEN_INFLAMM_012 | ok |
Q_GEN_PATH_GEN_INFLAMM_013 | ok |
Q_GEN_PATH_GEN_INFLAMM_014 | ok |
Q_GEN_PATH_GEN_INFLAMM_015 | ok |
Q_GEN_PATH_GEN_INFLAMM_016 | ok |
Q_GEN_PATH_GEN_INFLAMM_017 | ok |
Q_GEN_PATH_GEN_INFLAMM_018 | ok |
Q_GEN_PATH_GEN_INFLAMM_019 | ok |
Q_GEN_PATH_GEN_INFLAMM_020 | ok |
Q_GEN_PATH_GEN_INFLAMM_021 | ok |
Q_GEN_PATH_GEN_INFLAMM_022 | ok |
Q_GEN_PATH_GEN_INFLAMM_023 | ok |
Q_GEN_PATH_GEN_INFLAMM_024 | ok |
Q_GEN_PATH_GEN_INFLAMM_025 | ok |
Q_c1_004 | ok |
Q_c1_011 | ok |
Q_c1_012 | stem=A 10-year-old with jaundice, splenomegaly and anemia has a peripheral smear showing small, round, densely staining red cells lacking central pallor, and increased osmotic fragility. The underlying defect involves which structure? | removed leftover 'IMAGE-DESCRIBED:' authoring prefix; stem already describes the findings in words so it is self-contained (plan 5.3)
Q_GEN_PATH_SYS_CVS_001 | ok |
Q_GEN_PATH_SYS_CVS_002 | ok |
Q_GEN_PATH_SYS_CVS_003 | ok |
Q_GEN_PATH_SYS_CVS_004 | ok |
Q_GEN_PATH_SYS_CVS_005 | ok |
Q_GEN_PATH_SYS_CVS_006 | ok |
Q_GEN_PATH_SYS_CVS_007 | ok |
Q_GEN_PATH_SYS_CVS_008 | ok |
Q_GEN_PATH_SYS_CVS_009 | ok |
Q_GEN_PATH_SYS_CVS_010 | ok |
Q_GEN_PATH_SYS_CVS_011 | ok |
Q_GEN_PATH_SYS_CVS_012 | ok |
Q_GEN_PATH_SYS_CVS_013 | ok |
Q_GEN_PATH_SYS_CVS_014 | ok |
Q_GEN_PATH_SYS_CVS_015 | ok |
Q_GEN_PATH_SYS_CVS_016 | ok |
Q_GEN_PATH_SYS_CVS_017 | ok |
Q_GEN_PATH_SYS_CVS_018 | ok |
Q_GEN_PATH_SYS_CVS_019 | ok |
Q_GEN_PATH_SYS_CVS_020 | ok |
Q_GEN_PATH_SYS_CVS_021 | ok |
Q_GEN_PATH_SYS_CVS_022 | ok |
Q_GEN_PATH_SYS_CVS_023 | ok |
Q_GEN_PATH_SYS_CVS_024 | ok |
Q_c1_019 | ok |
Q_GEN_PATH_SYS_CNS_001 | ok |
Q_GEN_PATH_SYS_CNS_002 | ok |
Q_GEN_PATH_SYS_CNS_003 | ok |
Q_GEN_PATH_SYS_CNS_004 | ok |
Q_GEN_PATH_SYS_CNS_005 | ok |
Q_GEN_PATH_SYS_CNS_006 | ok |
Q_GEN_PATH_SYS_CNS_007 | ok |
Q_GEN_PATH_SYS_CNS_008 | ok |
Q_GEN_PATH_SYS_CNS_009 | ok |
Q_GEN_PATH_SYS_CNS_010 | ok |
Q_GEN_PATH_SYS_CNS_011 | ok |
Q_GEN_PATH_SYS_CNS_012 | ok |
Q_GEN_PATH_SYS_CNS_013 | ok |
Q_GEN_PATH_SYS_CNS_014 | ok |
Q_GEN_PATH_SYS_CNS_015 | ok |
Q_GEN_PATH_SYS_CNS_016 | ok |
Q_GEN_PATH_SYS_CNS_017 | ok |
Q_GEN_PATH_SYS_CNS_018 | ok |
Q_GEN_PATH_SYS_CNS_019 | ok |
Q_GEN_PATH_SYS_CNS_020 | ok |
Q_GEN_PATH_SYS_CNS_021 | ok |
Q_GEN_PATH_SYS_CNS_022 | ok |
Q_GEN_PATH_SYS_CNS_023 | ok |
