Q_c1_028 | ok |
Q_c1_032 | ok |
Q_GEN_PHAR_CHEMO_TB_001 | ok |
Q_GEN_PHAR_CHEMO_TB_002 | ok |
Q_GEN_PHAR_CHEMO_TB_003 | ok |
Q_GEN_PHAR_CHEMO_TB_004 | ok |
Q_GEN_PHAR_CHEMO_TB_005 | ok |
Q_GEN_PHAR_CHEMO_TB_006 | ok |
Q_GEN_PHAR_CHEMO_TB_007 | ok |
Q_GEN_PHAR_CHEMO_TB_008 | ok |
Q_GEN_PHAR_CHEMO_TB_009 | ok |
Q_GEN_PHAR_CHEMO_TB_010 | ok |
Q_GEN_PHAR_CHEMO_TB_011 | ok |
Q_GEN_PHAR_CHEMO_TB_012 | ok |
Q_GEN_PHAR_CHEMO_TB_013 | ok |
Q_GEN_PHAR_CHEMO_TB_014 | ok |
Q_GEN_PHAR_CHEMO_TB_015 | ok |
Q_GEN_PHAR_CHEMO_TB_016 | ok |
Q_GEN_PHAR_CHEMO_TB_017 | ok |
Q_GEN_PHAR_CHEMO_TB_018 | ok |
Q_GEN_PHAR_CHEMO_TB_019 | ok |
Q_GEN_PHAR_CHEMO_TB_020 | ok |
Q_GEN_PHAR_CHEMO_TB_021 | ok |
Q_GEN_PHAR_CHEMO_TB_022 | ok |
Q_GEN_PHAR_CHEMO_TB_023 | ok |
Q_GEN_PHAR_CHEMO_TB_024 | ok |
Q_c1_046 | ok |
Q_c1_042 | ok |
Q_c1_044 | ok |
Q_GEN_PHAR_CNS_AED_001 | ok |
Q_GEN_PHAR_CNS_AED_002 | ok |
Q_GEN_PHAR_CNS_AED_003 | ok |
Q_GEN_PHAR_CNS_AED_004 | ok |
Q_GEN_PHAR_CNS_AED_005 | ok |
Q_GEN_PHAR_CNS_AED_006 | ok |
Q_GEN_PHAR_CNS_AED_007 | ok |
Q_GEN_PHAR_CNS_AED_008 | ok |
Q_GEN_PHAR_CNS_AED_009 | ok |
Q_GEN_PHAR_CNS_AED_010 | ok |
Q_GEN_PHAR_CNS_AED_011 | ok |
Q_GEN_PHAR_CNS_AED_012 | ok |
Q_GEN_PHAR_CNS_AED_013 | ok |
Q_GEN_PHAR_CNS_AED_014 | ok |
Q_GEN_PHAR_CNS_AED_015 | ok |
Q_GEN_PHAR_CNS_AED_016 | ok |
Q_GEN_PHAR_CNS_AED_017 | ok |
Q_GEN_PHAR_CNS_AED_018 | ok |
Q_GEN_PHAR_CNS_AED_019 | ok |
Q_GEN_PHAR_CNS_AED_020 | ok |
Q_GEN_PHAR_CNS_AED_021 | ok |
Q_GEN_PHAR_CNS_AED_022 | ok |
Q_GEN_PHAR_CNS_AED_023 | ok |
Q_GEN_PHAR_CNS_AED_024 | ok |
Q_c1_038 | ok |
Q_c1_033 | ok |
Q_c1_040 | ok |
Q_PYQ_INICET_2025MAY_037 | ok |
Q_c1_030 | ok |
Q_GEN_PHAR_CNS_ANES_001 | ok |
Q_GEN_PHAR_CNS_ANES_002 | ok |
Q_GEN_PHAR_CNS_ANES_003 | ok |
Q_GEN_PHAR_CNS_ANES_004 | ok |
Q_GEN_PHAR_CNS_ANES_005 | ok |
Q_GEN_PHAR_CNS_ANES_006 | ok |
Q_GEN_PHAR_CNS_ANES_007 | ok |
Q_GEN_PHAR_CNS_ANES_008 | ok |
Q_GEN_PHAR_CNS_ANES_009 | ok |
Q_GEN_PHAR_CNS_ANES_010 | ok |
Q_GEN_PHAR_CNS_ANES_011 | ok |
Q_GEN_PHAR_CNS_ANES_012 | ok |
Q_GEN_PHAR_CNS_ANES_013 | ok |
Q_GEN_PHAR_CNS_ANES_014 | ok |
Q_GEN_PHAR_CNS_ANES_015 | ok |
Q_GEN_PHAR_CNS_ANES_016 | ok |
Q_GEN_PHAR_CNS_ANES_017 | ok |
Q_GEN_PHAR_CNS_ANES_018 | ok |
Q_GEN_PHAR_CNS_ANES_019 | ok |
Q_GEN_PHAR_CNS_ANES_020 | ok |
Q_GEN_PHAR_CNS_ANES_021 | ok |
Q_GEN_PHAR_CNS_ANES_022 | ok |
Q_GEN_PHAR_CNS_ANES_023 | ok |
Q_GEN_PHAR_CNS_ANES_024 | ok |
Q_GEN_PHAR_CVS_HF_ARR_001 | ok |
Q_GEN_PHAR_CVS_HF_ARR_002 | ok |
Q_GEN_PHAR_CVS_HF_ARR_003 | ok |
Q_GEN_PHAR_CVS_HF_ARR_004 | ok |
Q_GEN_PHAR_CVS_HF_ARR_005 | ok |
Q_GEN_PHAR_CVS_HF_ARR_006 | ok |
Q_GEN_PHAR_CVS_HF_ARR_007 | ok |
Q_GEN_PHAR_CVS_HF_ARR_008 | ok |
Q_GEN_PHAR_CVS_HF_ARR_009 | ok |
Q_GEN_PHAR_CVS_HF_ARR_010 | ok |
Q_GEN_PHAR_CVS_HF_ARR_011 | ok |
Q_GEN_PHAR_CVS_HF_ARR_012 | ok |
Q_GEN_PHAR_CVS_HF_ARR_013 | ok |
Q_GEN_PHAR_CVS_HF_ARR_014 | ok |
Q_GEN_PHAR_CVS_HF_ARR_015 | ok |
Q_GEN_PHAR_CVS_HF_ARR_016 | ok |
Q_GEN_PHAR_CVS_HF_ARR_017 | ok |
Q_GEN_PHAR_CVS_HF_ARR_018 | ok |
Q_GEN_PHAR_CVS_HF_ARR_019 | ok |
Q_GEN_PHAR_CVS_HF_ARR_020 | ok |
Q_GEN_PHAR_CVS_HF_ARR_021 | ok |
Q_GEN_PHAR_CVS_HF_ARR_022 | ok |
Q_GEN_PHAR_CVS_HF_ARR_023 | ok |
Q_GEN_PHAR_CVS_HF_ARR_024 | ok |
Q_GEN_PHAR_CVS_HF_ARR_025 | ok |
Q_c1_036 | ok |
Q_GEN_PHAR_ENDO_001 | ok |
Q_GEN_PHAR_ENDO_002 | ok |
Q_GEN_PHAR_ENDO_003 | ok |
Q_GEN_PHAR_ENDO_004 | ok |
Q_GEN_PHAR_ENDO_005 | ok |
Q_GEN_PHAR_ENDO_006 | ok |
Q_GEN_PHAR_ENDO_007 | ok |
Q_GEN_PHAR_ENDO_008 | ok |
Q_GEN_PHAR_ENDO_009 | ok |
Q_GEN_PHAR_ENDO_010 | ok |
Q_GEN_PHAR_ENDO_011 | ok |
Q_GEN_PHAR_ENDO_012 | ok |
Q_GEN_PHAR_ENDO_013 | ok |
Q_GEN_PHAR_ENDO_014 | ok |
Q_GEN_PHAR_ENDO_015 | ok |
Q_GEN_PHAR_ENDO_016 | ok |
Q_GEN_PHAR_ENDO_017 | ok |
Q_GEN_PHAR_ENDO_018 | ok |
Q_GEN_PHAR_ENDO_019 | ok |
Q_GEN_PHAR_ENDO_020 | ok |
Q_GEN_PHAR_ENDO_021 | ok |
Q_GEN_PHAR_ENDO_022 | ok |
Q_GEN_PHAR_ENDO_023 | ok |
Q_GEN_PHAR_ENDO_024 | ok |
Q_GEN_PHAR_ENDO_025 | ok |
Q_PYQ_INICET_2025MAY_026 | ok |
Q_GEN_PHAR_GEN_PKPD_001 | ok |
Q_GEN_PHAR_GEN_PKPD_002 | ok |
Q_GEN_PHAR_GEN_PKPD_003 | ok |
Q_GEN_PHAR_GEN_PKPD_004 | ok |
Q_GEN_PHAR_GEN_PKPD_005 | ok |
Q_GEN_PHAR_GEN_PKPD_006 | ok |
Q_GEN_PHAR_GEN_PKPD_007 | ok |
Q_GEN_PHAR_GEN_PKPD_008 | ok |
Q_GEN_PHAR_GEN_PKPD_009 | ok |
Q_GEN_PHAR_GEN_PKPD_010 | ok |
Q_GEN_PHAR_GEN_PKPD_011 | ok |
Q_GEN_PHAR_GEN_PKPD_012 | ok |
Q_GEN_PHAR_GEN_PKPD_013 | ok |
Q_GEN_PHAR_GEN_PKPD_014 | ok |
Q_GEN_PHAR_GEN_PKPD_015 | ok |
Q_GEN_PHAR_GEN_PKPD_016 | ok |
Q_GEN_PHAR_GEN_PKPD_017 | ok |
Q_GEN_PHAR_GEN_PKPD_018 | ok |
Q_GEN_PHAR_GEN_PKPD_019 | ok |
Q_GEN_PHAR_GEN_PKPD_020 | ok |
Q_GEN_PHAR_GEN_PKPD_021 | ok |
Q_GEN_PHAR_GEN_PKPD_022 | ok |
Q_GEN_PHAR_GEN_PKPD_023 | ok |
Q_c1_025 | ok |
Q_c1_026 | ok |
