Q_PYQ_FMGE_2024JAN_013 | ref=FMGE January 2024 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2024JUN_011 | ref=FMGE June 2024 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP1_105 | ref=FMGE January 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP1_138 | ref=FMGE January 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP2_063 | ref=FMGE January 2025 Part 2 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP2_064 | ref=FMGE January 2025 Part 2 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP2_065 | ref=FMGE January 2025 Part 2 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JANP2_066 | ref=FMGE January 2025 Part 2 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_077 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_082 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_083 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_106 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_109 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_111 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_113 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_119 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_PYQ_FMGE_2025JULP1_125 | ref=FMGE July 2025 Part 1 (real exam recall); DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | exam-paper-only reference given a study source with the relevant chapter
Q_C_015 | ref=DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | the book was cited with no chapter
Q_C_016 | ref=DC Dutta's Textbook of Obstetrics 9e, Ch. Antenatal Care | the book was cited with no chapter
Q_C_017 | ref=DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | the book was cited with no chapter
Q_h3c_008 | ref=DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | the book was cited with no chapter
Q_h3c_009 | ref=DC Dutta's Textbook of Obstetrics 9e, Ch. Normal Labour | the book was cited with no chapter
