Q_C_002 | ok |
Q_C_003 | ok |
Q_C_009 | ok |
Q_C_007 | ok |
Q_C_005 | ok |
Q_GEN_SURG_HERNIA_001 | ok |
Q_GEN_SURG_HERNIA_002 | ok |
Q_GEN_SURG_HERNIA_003 | ok |
Q_GEN_SURG_HERNIA_004 | ok |
Q_GEN_SURG_HERNIA_005 | ok |
Q_GEN_SURG_HERNIA_006 | ok |
Q_GEN_SURG_HERNIA_007 | ok |
Q_GEN_SURG_HERNIA_008 | ok |
Q_GEN_SURG_HERNIA_009 | ok |
Q_GEN_SURG_HERNIA_010 | ok |
Q_GEN_SURG_HERNIA_011 | ok |
Q_GEN_SURG_HERNIA_012 | ok |
Q_GEN_SURG_HERNIA_013 | ok |
Q_GEN_SURG_HERNIA_014 | ok |
Q_GEN_SURG_HERNIA_015 | ok |
Q_GEN_SURG_HERNIA_016 | ok |
Q_GEN_SURG_HERNIA_017 | ok |
Q_GEN_SURG_HERNIA_018 | ok |
Q_GEN_SURG_HERNIA_019 | ok |
Q_GEN_SURG_HERNIA_020 | ok |
Q_GEN_SURG_HERNIA_021 | ok |
Q_GEN_SURG_HERNIA_022 | ok |
Q_GEN_SURG_HERNIA_023 | ok |
Q_GEN_SURG_HERNIA_024 | ok |
Q_GEN_SURG_HERNIA_025 | ok |
Q_GEN_SURG_THYROID_001 | ok |
Q_GEN_SURG_THYROID_002 | ok |
Q_GEN_SURG_THYROID_003 | ok |
Q_GEN_SURG_THYROID_004 | ok |
Q_GEN_SURG_THYROID_005 | ok |
Q_GEN_SURG_THYROID_006 | ok |
Q_GEN_SURG_THYROID_007 | ok |
Q_GEN_SURG_THYROID_008 | ok |
Q_GEN_SURG_THYROID_009 | ok |
Q_GEN_SURG_THYROID_010 | ok |
Q_GEN_SURG_THYROID_011 | ok |
Q_GEN_SURG_THYROID_012 | ok |
Q_GEN_SURG_THYROID_013 | ok |
Q_GEN_SURG_THYROID_014 | ok |
Q_GEN_SURG_THYROID_015 | ok |
Q_GEN_SURG_THYROID_016 | ok |
Q_GEN_SURG_THYROID_017 | ok |
Q_GEN_SURG_THYROID_018 | ok |
Q_GEN_SURG_THYROID_019 | ok |
Q_GEN_SURG_THYROID_020 | ok |
Q_GEN_SURG_THYROID_021 | ok |
Q_GEN_SURG_THYROID_022 | ok |
Q_GEN_SURG_THYROID_023 | ok |
Q_GEN_SURG_THYROID_024 | ok |
Q_C_012 | ok |
Q_C_013 | ok |
Q_PYQ_INICET_2025MAY_020 | ok |
Q_PYQ_FMGE_2025JULP1_132 | ok |
